Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Heart Points,Heart Minutes,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Dancing duration (ms),Treadmill running duration (ms),Swimming duration (ms),Yoga duration (ms)
2019-11-09,1551.5316840098624,2273.703988492489,,,,,1.0576470451290492,18.973857879638672,0.14959301054477692,3766,,,,41,9.0,9,,77867558,1414165,,,,,
2019-11-10,1816.2558471218263,7699.395090939477,42.3309009,-71.1214969,42.5231164,-70.8903833,1.5484835111363362,31.882186889648438,0.06264202296733856,11970,,,,134,45.0,45,,70794234,6161254,,,,,
2019-11-11,1710.9136068544249,5373.592633955181,42.362848,-71.106308,42.3828851,-71.0770734,1.0965130958821367,10.47936725616455,0.1453043818473816,8559,,,,86,44.0,44,,79078503,4394337,,,,,
2019-11-12,1805.0457521719525,7993.429482281208,42.3122856,-71.1216912,42.3535059,-71.0349305,0.9993833024747926,18.57001304626465,0.058004945516586304,12021,,,,120,58.0,55,,73471259,5869452,,,,,
2019-11-13,1780.6227679577933,5391.886005282402,42.312333,-71.1184775,42.3485842,-71.0350001,1.0121880496872515,16.53645133972168,0.1455189287662506,8788,,,,105,31.0,31,,70589606,5690992,,,,,
2019-11-14,1779.7695730881076,5746.453165024519,42.3310536,-71.1198589,42.3822434,-71.0953626,0.9880214603510604,17.446102142333984,0.04846461862325668,9570,,,,96,40.0,40,,70779564,5678084,,,,,
2019-11-15,1688.3219770408737,4454.894088763744,42.3123872,-71.041029,42.3142157,-71.0353303,1.0257843970245004,12.538599967956543,0.09420175850391388,7548,,,,81,24.0,24,,75061230,4001733,,,,,
2019-11-16,1888.930732000302,8080.32418140769,42.3309804,-71.1177846,42.3745664,-71.0305251,0.9555659106716288,13.711230278015137,0.04658317565917969,13432,,,,150,58.0,56,,65764113,6689526,415178,,,,
2019-11-17,1948.3604302815868,9070.022464185953,41.7865427,-71.4192454,42.3553544,-71.0549295,2.8109380110718494,29.586761474609375,0.1928894817829132,14244,,,,162,61.0,61,,61336880,8688077,,,,,
2019-11-18,1644.4366112963376,4031.263116955757,42.3517321,-71.0603763,42.3556217,-71.0549053,1.7835554634651007,15.16915512084961,0.19126972556114197,6751,,,,70,26.0,26,,72019982,2972423,69210,,,,
2019-11-19,1687.7922166219173,3757.5240023732185,42.312459,-71.066097,42.3571001,-71.0361795,1.450759522059399,9.748390197753906,0.014689275994896889,6862,,,,81,18.0,18,,72598518,3976342,,,,,
2019-11-20,1625.371071627221,3474.635720014572,42.3123385,-71.0569032,42.3298161,-71.0356252,0.8413928761909365,4.33150053024292,0.17957042157649994,6172,,,,63,23.0,23,,77001121,2832980,,,,,
2019-11-21,1824.1264516688752,7550.596518822014,42.2998406,-71.1189849,42.3789423,-71.0279512,0.8253551385451786,13.528824806213379,0.06793457269668579,7043,,,,96,41.0,41,755891,71713359,5494173,51905,,,,
2019-11-22,1773.9743419224258,5933.15375071764,42.3125537,-71.066305,42.3746318,-71.0362995,0.8938982787079056,27.501529693603516,0.15505576133728027,10375,,,,110,39.0,39,,73218814,5558451,,,,,
2019-11-23,1730.5471747646302,4283.046870501712,42.3310139,-71.1576125,42.3800442,-71.0967957,1.338497446682101,19.606433868408203,0.2563355267047882,7292,,,,91,19.0,19,,70949903,4781876,,,,,
2019-11-24,1611.1564533767498,2879.978050213307,42.3308956,-71.1184739,42.3852385,-71.0765537,0.9786787735212508,16.109416961669922,0.10671965777873993,5012,,,,52,24.0,23,,79974750,2553318,,,,,
2019-11-25,1745.18950102616,7672.687377590686,42.3127137,-71.1084749,42.3699914,-71.0362198,1.0018037614373485,15.739999771118164,0.1738474816083908,8794,,,,102,39.0,39,479923,69024354,4171940,,,,,
