Book_ID,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My_Rating,Average_Rating,Publisher,Binding,Page_Number,Year_Published,Original_Publication_Year,Date_Read,Date_Added,Bookshelves,Bookshelves_With_Positions,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Recommended_For,Recommended_By,Owned_Copies,Original_Purchase_Date,Original_Purchase_Location,Condition,Condition_Description,BCID
21844019,"The Rosie Effect (Don Tillman, #2)",Graeme Simsion,"Simsion, Graeme",,1922182109,9781922182104,4,3.58,Text Publishing Company,Paperback,415,2014,2014,1/2/2015,1/2/2015,,,read,,,,1,,,0,,,,,
16100972,"Openly Straight (Openly Straight, #1)",Bill Konigsberg,"Konigsberg, Bill",,0545509890,9780545509893,3,3.92,Arthur A. Levine Books,Hardcover,320,2013,2013,1/2/2015,11/3/2014,,,read,,,,1,,,0,,,,,
17851885,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,"Yousafzai, Malala",Christina Lamb,0316322407,9780316322409,5,4.1,"Little, Brown and Company",Hardcover,327,2013,2012,1/2/2015,1/2/2015,,,read,,,,1,,,0,,,,,
23359072,"Shouldn't You Be In School? (All the Wrong Questions, #3)",Lemony Snicket,"Snicket, Lemony",Seth,,,3,4.17,HarperCollins,Kindle Edition,336,2014,2014,11/3/2014,11/3/2014,,,read,,,,1,,,0,,,,,
17924987,Fan Art,Sarah Tregay,"Tregay, Sarah",,0062243152,9780062243157,2,3.81,Katherine Tegen Books,Hardcover,354,2014,2014,8/17/2014,8/8/2014,,,read,,,,1,,,0,,,,,
18465591,One Man Guy,Michael Barakiva,"Barakiva, Michael",,0374356459,9780374356453,4,3.89,"Farrar, Straus and Giroux (BYR)",Hardcover,255,2014,2014,8/17/2014,5/20/2014,,,read,,,,1,,,0,,,,,
24768,"Pretties (Uglies, #2)",Scott Westerfeld,"Westerfeld, Scott",,0689865392,9780689865398,2,3.85,Simon & Schuster Simon Pulse,Paperback,370,2005,2005,11/3/2014,11/3/2014,,,read,,,,1,,,0,,,,,
24765,"Specials (Uglies, #3)",Scott Westerfeld,"Westerfeld, Scott",,0689865406,9780689865404,2,3.77,Simon Pulse,Hardcover,384,2006,2006,,11/3/2014,,,read,,,,1,,,0,,,,,
24770,"Uglies (Uglies, #1)",Scott Westerfeld,"Westerfeld, Scott",,0689865384,9780689865381,3,3.86,Simon Pulse,Paperback,425,2005,2005,11/3/2014,11/3/2014,,,read,,,,1,,,0,,,,,
38447,The Handmaid's Tale,Margaret Atwood,"Atwood, Margaret",,038549081X,9780385490818,2,4.09,Anchor Books,Paperback,344,1998,1985,11/3/2014,11/3/2014,,,read,,,,1,,,0,,,,,
15795357,Eleanor and Park,Rainbow Rowell,"Rowell, Rainbow",,1250031214,9781250031211,2,4.09,St. Martin's Griffin,ebook,336,2013,2012,8/24/2014,8/24/2014,,,read,,,,1,,,0,,,,,
18295852,The Geography of You and Me,Jennifer E. Smith,"Smith, Jennifer E.",,0316254770,9780316254779,2,3.68,Poppy,Hardcover,337,2014,2014,8/24/2014,8/17/2014,,,read,,,,1,,,0,,,,,
